number,text,filename
1,ab,0001.mp3
2,abbiegen,0002.mp3
3,aber,0003.mp3
4,abfahren,0004.mp3
5,abholen,0005.mp3
6,achtundsechzig,0006.mp3
7,Achtundsechzig?,0007.mp3
8,Achtung,0008.mp3
9,Achtung!,0009.mp3
10,Afrika,0010.mp3
11,Ah!,0011.mp3
12,Ahmad,0012.mp3
13,Ahnung,0013.mp3
14,Akkusativ,0014.mp3
15,als,0015.mp3
16,alt,0016.mp3
17,am,0017.mp3
18,Amerika,0018.mp3
19,an,0019.mp3
20,Analystin,0020.mp3
21,anderthalb,0021.mp3
22,anfangen,0022.mp3
23,Angebot,0023.mp3
24,angenehm,0024.mp3
25,ankommen,0025.mp3
26,Anrede,0026.mp3
27,anrufen,0027.mp3
28,Antwortblatt,0028.mp3
29,antworten,0029.mp3
30,Anzeige,0030.mp3
31,anziehen,0031.mp3
32,arbeiten,0032.mp3
33,arbeitet,0033.mp3
34,Asien,0034.mp3
35,at,0035.mp3
36,auf,0036.mp3
37,Aufgabe,0037.mp3
38,Aufgabenbewältigung,0038.mp3
39,aufstehen,0039.mp3
40,aufwachen,0040.mp3
41,aus,0041.mp3
42,ausschalten,0042.mp3
43,aussteigen,0043.mp3
44,ausziehen,0044.mp3
45,Auto,0045.mp3
46,AY,0046.mp3
47,B-A-U-E-R,0047.mp3
48,bahn.de,0048.mp3
49,Bahnhof,0049.mp3
50,Bahnsteig,0050.mp3
51,bald,0051.mp3
52,Bauer,0052.mp3
53,bei,0053.mp3
54,Beispiel,0054.mp3
55,bekommen,0055.mp3
56,Berlin,0056.mp3
57,Beruf,0057.mp3
58,Berufserfahrung,0058.mp3
59,besetzt,0059.mp3
60,besichtigen,0060.mp3
61,besichtigt,0061.mp3
62,Bestanden,0062.mp3
63,bestellen,0063.mp3
64,besuchen,0064.mp3
65,betreten,0065.mp3
66,bezahlen,0066.mp3
67,Bildbeschreibung,0067.mp3
68,Bildnummer,0068.mp3
69,billig,0069.mp3
70,bin,0070.mp3
71,bis,0071.mp3
72,bist,0072.mp3
73,bitte,0073.mp3
74,Bitte!,0074.mp3
75,bitten,0075.mp3
76,Brasilien,0076.mp3
77,brauchen,0077.mp3
78,bringen,0078.mp3
79,Buchstabe,0079.mp3
80,Bär,0080.mp3
81,Bücher,0081.mp3
82,CHF,0082.mp3
83,Damen,0083.mp3
84,danach,0084.mp3
85,Danke,0085.mp3
86,Danke!,0086.mp3
87,danken,0087.mp3
88,dann,0088.mp3
89,Das,0089.mp3
90,decken,0090.mp3
91,dem,0091.mp3
92,den,0092.mp3
93,denn,0093.mp3
94,der,0094.mp3
95,der-Wörter,0095.mp3
96,Deutsch,0096.mp3
97,Deutsche,0097.mp3
98,Deutschland,0098.mp3
99,dich,0099.mp3
100,dick,0100.mp3
101,die,0101.mp3
102,dir,0102.mp3
103,doof,0103.mp3
104,Doppel-N,0104.mp3
105,drei,0105.mp3
106,dreissig,0106.mp3
107,dreizehn,0107.mp3
108,Dreizehntausendzweihundertsechsunddreißig!,0108.mp3
109,dreizehnte,0109.mp3
110,dreißig,0110.mp3
111,drucken,0111.mp3
112,drücken,0112.mp3
113,du,0113.mp3
114,dünn,0114.mp3
115,dürfen,0115.mp3
116,EE,0116.mp3
117,EG,0117.mp3
118,ein,0118.mp3
119,ein-Wörter,0119.mp3
120,eine,0120.mp3
121,eineinhalb,0121.mp3
122,einen,0122.mp3
123,einhundert,0123.mp3
124,einkaufen,0124.mp3
125,Einkaufskorb,0125.mp3
126,einladen,0126.mp3
127,eins,0127.mp3
128,einschalten,0128.mp3
129,einschlafen,0129.mp3
130,einsteigen,0130.mp3
131,einundvierzig,0131.mp3
132,einundzwanzig,0132.mp3
133,einziehen,0133.mp3
134,en,0134.mp3
135,entdecken,0135.mp3
136,Entschuldigung!,0136.mp3
137,er,0137.mp3
138,Er!,0138.mp3
139,Erfahrung,0139.mp3
140,erklären,0140.mp3
141,erklärt,0141.mp3
142,erkältet,0142.mp3
143,ermäßigt,0143.mp3
144,es,0144.mp3
145,Es!,0145.mp3
146,Eszett,0146.mp3
147,eure,0147.mp3
